d000.s000.t000 bn:00106124a
d049.s003.t007 bn:00058593n
d049.s003.t008 bn:00078738n
d049.s003.t009 bn:00106058a
d049.s003.t010 bn:00041942n
d049.s003.t011 bn:00069773n
d049.s003.t012 bn:00090426v
d049.s003.t013 bn:00081370n
d049.s003.t014 bn:00051760n
d049.s003.t015 bn:00045124n
d049.s004.t000 bn:00115635r
d049.s004.t001 bn:00110076a
d049.s004.t002 bn:00019848n
d049.s004.t003 bn:00046516n
d049.s004.t004 bn:00088250v
d049.s004.t005 bn:00082697v
d049.s004.t006 bn:00000367n
d049.s004.t007 bn:00051760n
d049.s004.t008 bn:00082280v
d049.s004.t009 bn:00016991n
d049.s004.t010 bn:00009078n
d049.s004.t011 bn:00051760n
d049.s004.t012 bn:00097103a
d049.s004.t013 bn:00020712n
d049.s004.t014 bn:00087106v
d049.s004.t015 bn:00103779a
d049.s004.t016 bn:00048554n
d049.s004.t017 bn:00017120n
d049.s004.t018 bn:00022173n
d049.s004.t019 bn:00029054n
d049.s004.t020 bn:00096964a
d049.s004.t021 bn:00096694a
d049.s005.t000 bn:00096060a
d049.s005.t001 bn:00095890a
d049.s005.t002 bn:00047159n
d049.s005.t003 bn:00115840r
d049.s005.t004 bn:00051760n
d049.s005.t005 bn:00051760n
d049.s005.t006 bn:00066632n
d049.s005.t007 bn:00051760n
d049.s005.t008 bn:00095960a
d049.s005.t009 bn:00001533n
d049.s005.t010 bn:00090426v
d049.s005.t011 bn:00020718n
d049.s005.t012 bn:00007140n
d049.s006.t000 bn:00058593n
d049.s006.t001 bn:00106058a
d049.s006.t002 bn:00020718n
d049.s006.t003 bn:00051760n
d049.s006.t004 bn:00100361a
d049.s006.t005 bn:00081367n
d049.s006.t006 bn:00082327v
d049.s006.t007 bn:00095890a
d049.s007.t000 bn:00096109a
d049.s007.t001 bn:00078738n
d049.s007.t002 bn:00069773n
d049.s007.t003 bn:00087628v
d049.s007.t004 bn:00083904v
d049.s007.t005 bn:00111825a
d049.s007.t006 bn:00041730n
d049.s007.t007 bn:00094373v
d049.s007.t008 bn:00109834a
d049.s007.t009 bn:00041883n
d049.s007.t010 bn:00079476n
d049.s007.t011 bn:00088013v
d049.s007.t012 bn:00041942n
d049.s007.t013 bn:00046516n
d049.s008.t000 bn:00105773a
d049.s008.t001 bn:00034004n
d049.s008.t002 bn:00095950a
d049.s008.t003 bn:00066880n
d049.s008.t004 bn:00111553a
d049.s008.t005 bn:00054414n
d049.s008.t006 bn:00095121v
d049.s008.t007 bn:00013173n
d049.s008.t008 bn:00015115n
d049.s008.t009 bn:00085711v
d049.s008.t010 bn:00003343n
d049.s008.t011 bn:00090426v
d049.s008.t012 bn:00055800n
d049.s008.t013 bn:00051760n
d049.s008.t014 bn:00019918n
d049.s008.t015 bn:00074023n
d049.s009.t000 bn:00046516n
d049.s009.t001 bn:00084573v
d049.s009.t002 bn:00096077a
d049.s009.t003 bn:00053096n
d049.s009.t004 bn:00096001a
d049.s009.t005 bn:00054972n
d049.s009.t006 bn:00066632n
d049.s009.t007 bn:00093509v
d049.s009.t008 bn:00035771n
d049.s009.t009 bn:00092103v
d049.s009.t010 bn:00020714n
d049.s009.t011 bn:00041942n
d049.s009.t012 bn:00092877v
d049.s009.t013 bn:00030707n
d049.s009.t014 bn:00033687n
d049.s009.t015 bn:00036883n
d049.s009.t016 bn:00008572n
d049.s009.t017 bn:00030601n
d049.s010.t000 bn:00054414n
d049.s010.t001 bn:00083181v
d049.s010.t002 bn:00116143r
d049.s010.t003 bn:00105275a
d049.s010.t004 bn:00002096n
d049.s010.t005 bn:00082317v
d049.s010.t006 bn:00007146n
d049.s010.t007 bn:00059788n
d049.s010.t008 bn:00033676n
d049.s010.t009 bn:00060967n
d049.s010.t010 bn:00081568n
d049.s010.t011 bn:00083181v
d049.s010.t012 bn:00117138r
d049.s010.t013 bn:00087106v
d049.s010.t014 bn:00044349n
d049.s010.t015 bn:00114955r
d049.s011.t000 bn:00106205a
d049.s011.t001 bn:00036687n
d049.s011.t002 bn:00046516n
d049.s011.t003 bn:00060967n
d049.s011.t004 bn:00026399n
d049.s011.t005 bn:00041452n
d049.s011.t006 bn:00090243v
d049.s011.t007 bn:00027056n
d049.s011.t008 bn:00020718n
d049.s011.t009 bn:00117086r
d049.s012.t000 bn:00114955r
d049.s012.t001 bn:00075151n
d049.s012.t002 bn:00102277a
d049.s012.t003 bn:00032425n
d049.s012.t004 bn:00025080n
d049.s012.t005 bn:00082720v
d049.s012.t006 bn:00096798a
d049.s012.t007 bn:00096029a
d049.s012.t008 bn:00069773n
d049.s012.t009 bn:00075601n
d049.s012.t010 bn:00054648n
d049.s012.t011 bn:00088912v
d049.s012.t012 bn:00066632n
d049.s012.t013 bn:00056138n
d049.s012.t014 bn:00051760n
d049.s012.t015 bn:00067948n
d049.s013.t000 bn:00115639r
d049.s013.t001 bn:00084198v
d049.s013.t002 bn:00005813n
d049.s013.t003 bn:00074364n
d049.s013.t004 bn:00051760n
d049.s013.t005 bn:00046516n
d049.s013.t006 bn:00008667n
d049.s013.t007 bn:00069783n
d049.s014.t000 bn:00107267a
d049.s014.t001 bn:00049847n
d049.s014.t002 bn:00083181v
d049.s014.t003 bn:00116286r
d049.s014.t004 bn:00113698a
d049.s014.t005 bn:00051760n
d049.s014.t006 bn:00116295r
d049.s014.t007 bn:00099857a
d049.s014.t008 bn:00103779a
d049.s014.t009 bn:00043802n
d049.s014.t010 bn:00003357n
d049.s014.t011 bn:00020718n
d049.s014.t012 bn:00035649n
d049.s015.t000 bn:00046516n
d049.s015.t001 bn:00020714n
d049.s015.t002 bn:00082667v
d049.s015.t003 bn:00056155n
d049.s015.t004 bn:00117086r
d049.s015.t005 bn:00098883a
d049.s015.t006 bn:00036882n
d049.s015.t007 bn:00008572n
d049.s016.t000 bn:00106408a
d049.s016.t001 bn:00078738n
d049.s016.t002 bn:00041942n
d049.s016.t003 bn:00089240v
d049.s016.t004 bn:00110961a
d049.s016.t005 bn:00017185n
d049.s016.t006 bn:00051760n
d049.s016.t007 bn:00055331n
d049.s016.t008 bn:00047159n
d049.s016.t009 bn:00117076r
d049.s016.t010 bn:00100361a
d049.s016.t011 bn:00015576n
d049.s016.t012 bn:00041120n
d049.s017.t000 bn:00001076n
d049.s017.t001 bn:00021844n
d049.s017.t002 bn:00085252v
d049.s017.t003 bn:00103206a
d049.s017.t004 bn:00014160n
d049.s017.t005 bn:00003341n
d049.s017.t006 bn:00098883a
d049.s017.t007 bn:00098709a
d049.s017.t008 bn:00030618n
d049.s017.t009 bn:00116381r
d049.s017.t010 bn:00083293v
d049.s017.t011 bn:00096963a
d049.s017.t012 bn:00019281n
d049.s017.t013 bn:00046516n
d049.s017.t014 bn:00046516n
d049.s017.t015 bn:00046516n
d049.s017.t016 bn:00085714v
d049.s017.t017 bn:00036882n
d049.s017.t018 bn:00014137n
d049.s018.t000 bn:00051760n
d049.s018.t001 bn:00066632n
d049.s018.t002 bn:00046516n
d049.s018.t003 bn:00059905n
d049.s018.t004 bn:00113813a
d049.s018.t005 bn:00041942n
d049.s018.t006 bn:00015115n
d049.s018.t007 bn:00089240v
d049.s018.t008 bn:00023244n
d049.s018.t009 bn:00083196v
d049.s018.t010 bn:00084198v
d049.s018.t011 bn:00035975n
d049.s018.t012 bn:00086453v
d049.s018.t013 bn:00095952a
d049.s018.t014 bn:00053096n
d049.s018.t015 bn:00095950a
d049.s018.t016 bn:00106058a
d049.s018.t017 bn:00006172n
d049.s018.t018 bn:00034676n
d049.s019.t000 bn:00077880n
d049.s019.t001 bn:00085319v
d049.s019.t002 bn:00015115n
d049.s019.t003 bn:00012749n
d049.s019.t004 bn:00066632n
d049.s019.t005 bn:00046516n
d049.s019.t006 bn:00070724n
d049.s019.t007 bn:00084058v
d049.s019.t008 bn:00115840r
d049.s019.t009 bn:00016291n
d049.s020.t000 bn:00016291n
d049.s020.t001 bn:00083181v
d049.s020.t002 bn:00016413n
d049.s020.t003 bn:00085743v
d049.s020.t004 bn:00051760n
d049.s020.t005 bn:00025421n
d049.s020.t006 bn:00046516n
d049.s020.t007 bn:00105553a
d049.s020.t008 bn:00025646n
d049.s020.t009 bn:00046516n
d049.s020.t010 bn:00020718n
d049.s021.t000 bn:00046516n
d049.s021.t001 bn:00082412v
d049.s021.t002 bn:00107267a
d049.s021.t003 bn:00016291n
d049.s021.t004 bn:00083181v
d049.s021.t005 bn:00114073r
d049.s021.t006 bn:00096001a
d049.s021.t007 bn:00035680n
d049.s021.t008 bn:00028934n
d049.s021.t009 bn:00084554v
d049.s021.t010 bn:00096027a
d049.s021.t011 bn:00031345n
d049.s021.t012 bn:00091376v
d049.s022.t000 bn:00089384v
d049.s022.t001 bn:00117317r
d049.s022.t002 bn:00057858n
d049.s022.t003 bn:00081444n
d049.s022.t004 bn:00077268n
d049.s022.t005 bn:00087234v
d049.s022.t006 bn:00104971a
d049.s022.t007 bn:00059960n
d049.s022.t008 bn:00076913n
d049.s023.t000 bn:00046516n
d049.s023.t001 bn:00082417v
d049.s023.t002 bn:00046516n
d049.s023.t003 bn:00092969v
d049.s023.t004 bn:00097694a
d049.s023.t005 bn:00020164n
d049.s023.t006 bn:00027352n
d049.s023.t007 bn:00003341n
d049.s024.t000 bn:00070537n
d049.s024.t001 bn:00051760n
d049.s024.t002 bn:00051760n
d049.s024.t003 bn:00046516n
d049.s024.t004 bn:00090726v
d049.s024.t005 bn:00107322a
d049.s024.t006 bn:00052018n
d049.s024.t007 bn:00002155n
d049.s024.t008 bn:00008279n
d049.s024.t009 bn:00071793n
d049.s024.t010 bn:00087729v
d049.s024.t011 bn:00051760n
d049.s025.t000 bn:00078318n
d049.s025.t001 bn:00046516n
d049.s025.t002 bn:00086370v
d049.s025.t003 bn:00047741n
d049.s025.t004 bn:00045911n
d049.s025.t005 bn:00044720n
d049.s025.t006 bn:00101967a
d049.s025.t007 bn:00003341n
d049.s025.t008 bn:00083181v
d049.s025.t009 bn:00098274a
d049.s025.t010 bn:00047741n
d049.s025.t011 bn:00030861n
d049.s025.t012 bn:00082790v
d049.s025.t013 bn:00066632n
d049.s025.t014 bn:00003341n
d049.s025.t015 bn:00083187v
d049.s025.t016 bn:00098282a
d049.s025.t017 bn:00009635n
d049.s025.t018 bn:00075322n
d049.s025.t019 bn:00106408a
d049.s025.t020 bn:00015115n
d049.s025.t021 bn:00030861n
d049.s026.t000 bn:00082790v
d049.s026.t001 bn:00008243n
d049.s026.t002 bn:00046516n
d049.s026.t003 bn:00025645n
d049.s026.t004 bn:00095847v
d049.s026.t005 bn:00046516n
d049.s026.t006 bn:00070176n
d049.s026.t007 bn:00003365n
d049.s026.t008 bn:00082817v
d049.s026.t009 bn:00050249n
d049.s026.t010 bn:00082339v
d049.s026.t011 bn:00077860n
d049.s026.t012 bn:00051760n
d049.s026.t013 bn:00051760n
d049.s027.t000 bn:00077889n
d049.s027.t001 bn:00086380v
d049.s027.t002 bn:00116723r
d049.s027.t003 bn:00083181v
d049.s027.t004 bn:00106058a
d049.s027.t005 bn:00000743n
d049.s027.t006 bn:00089666v
d049.s027.t007 bn:00001557n
d049.s027.t008 bn:00070724n
d049.s028.t000 bn:00047741n
d049.s028.t001 bn:00089994v
d049.s028.t002 bn:00083369v
d049.s028.t003 bn:00069974n
d049.s028.t004 bn:00088423v
d049.s028.t005 bn:00020714n
d049.s028.t006 bn:00115150r
d049.s028.t007 bn:00082665v
d049.s029.t000 bn:00041452n
d049.s029.t001 bn:00114171r
d049.s029.t002 bn:00086699v
d049.s029.t003 bn:00023931n
d049.s029.t004 bn:00012749n
d049.s029.t005 bn:00051760n
d049.s029.t006 bn:00025645n
d049.s029.t007 bn:00095952a
d049.s029.t008 bn:00001533n
d049.s029.t009 bn:00088939v
d049.s029.t010 bn:00051760n
d049.s029.t011 bn:00116290r
d049.s029.t012 bn:00107610a
d049.s029.t013 bn:00096963a
d049.s029.t014 bn:00036657n
d049.s029.t015 bn:00051760n
d049.s030.t000 bn:00083181v
d049.s030.t001 bn:00095975a
d049.s030.t002 bn:00055794n
d049.s030.t003 bn:00048463n
d049.s030.t004 bn:00025501n
d049.s030.t005 bn:00081370n
d049.s030.t006 bn:00085342v
d049.s030.t007 bn:00095975a
d049.s030.t008 bn:00014710n
d049.s030.t009 bn:00049571n
d049.s030.t010 bn:00011674n
d049.s031.t000 bn:00096276a
d049.s031.t001 bn:00045705n
d049.s031.t002 bn:00051760n
d049.s031.t003 bn:00100361a
d049.s031.t004 bn:00041120n
d049.s031.t005 bn:00067948n
d049.s031.t006 bn:00014124n
d049.s031.t007 bn:00080959n
d049.s031.t008 bn:00095890a
d049.s031.t009 bn:00014124n
d049.s031.t010 bn:00058415n
d049.s031.t011 bn:00008605n
d049.s031.t012 bn:00095978a
d049.s031.t013 bn:00014124n
d049.s031.t014 bn:00061138n
d049.s031.t015 bn:00018265n
d049.s031.t016 bn:00103068a
d049.s031.t017 bn:00011674n
d049.s031.t018 bn:00093143v
d049.s031.t019 bn:00067948n
d049.s031.t020 bn:00051760n
d049.s031.t021 bn:00051760n
d049.s031.t022 bn:00066632n
d049.s032.t000 bn:00082790v
d049.s032.t001 bn:00051760n
d049.s032.t002 bn:00048592n
d049.s033.t000 bn:00102302a
d049.s033.t001 bn:00007011n
d049.s033.t002 bn:00082877v
d049.s033.t003 bn:00070254n
d049.s033.t004 bn:00020718n
d049.s033.t005 bn:00085851v
d049.s033.t006 bn:00046516n
d049.s034.t000 bn:00114216r
d049.s034.t001 bn:00117043r
d049.s034.t002 bn:00104768a
d049.s034.t003 bn:00083181v
d049.s034.t004 bn:00075322n
d049.s034.t005 bn:00070254n
d049.s034.t006 bn:00020714n
d049.s034.t007 bn:00085252v
d049.s034.t008 bn:00087267v
d049.s034.t009 bn:00051760n
d049.s034.t010 bn:00035649n
d049.s035.t000 bn:00117254r
d049.s035.t001 bn:00070254n
d049.s035.t002 bn:00035649n
d049.s035.t003 bn:00083293v
d049.s035.t004 bn:00116284r
d049.s035.t005 bn:00097001a
d049.s035.t006 bn:00020718n
d049.s035.t007 bn:00085719v
d049.s035.t008 bn:00116373r
d049.s035.t009 bn:00078738n
d049.s035.t010 bn:00114342r
d049.s036.t000 bn:00001172n
d049.s036.t001 bn:00098883a
d049.s036.t002 bn:00008572n
d049.s036.t003 bn:00064201n
d049.s036.t004 bn:00020718n
d049.s036.t005 bn:00066632n
d049.s036.t006 bn:00082313v
d049.s036.t007 bn:00078848n
d049.s036.t008 bn:00080452n
d049.s036.t009 bn:00086868v
d049.s036.t010 bn:00046516n
d049.s036.t011 bn:00026672n
d049.s036.t012 bn:00090224v
d049.s036.t013 bn:00054980n
d049.s036.t014 bn:00047159n
d049.s036.t015 bn:00116372r
d049.s036.t016 bn:00051760n
d049.s036.t017 bn:00076816n
d049.s036.t018 bn:00116290r
d049.s036.t019 bn:00096526a
d049.s036.t020 bn:00003341n
d049.s036.t021 bn:00054980n
d049.s037.t000 bn:00070537n
d049.s037.t001 bn:00095950a
d049.s037.t002 bn:00021287n
d049.s037.t003 bn:00035685n
d049.s037.t004 bn:00082790v
d049.s037.t005 bn:00056138n
d049.s037.t006 bn:00051760n
d049.s037.t007 bn:00036083n
d049.s037.t008 bn:00057073n
d049.s037.t009 bn:00055331n
d049.s037.t010 bn:00013723n
d049.s037.t011 bn:00051760n
d049.s037.t012 bn:00092787v
d049.s037.t013 bn:00020955n
d049.s037.t014 bn:00046516n
d049.s038.t000 bn:00096964a
d049.s038.t001 bn:00059786n
d049.s038.t002 bn:00066632n
d049.s038.t003 bn:00025580n
d049.s038.t004 bn:00033678n
d049.s038.t005 bn:00086008v
d049.s038.t006 bn:00103672a
d049.s039.t000 bn:00046516n
d049.s039.t001 bn:00036882n
d049.s039.t002 bn:00008572n
d049.s039.t003 bn:00054417n
d049.s039.t004 bn:00051760n
d049.s039.t005 bn:00085726v
d049.s039.t006 bn:00088643v
d049.s039.t007 bn:00046516n
d049.s039.t008 bn:00061450n
d049.s039.t009 bn:00043252n
d049.s039.t010 bn:00012273n
d049.s039.t011 bn:00046516n
d049.s039.t012 bn:00046516n
d049.s039.t013 bn:00087576v
d049.s039.t014 bn:00028868n
d049.s040.t000 bn:00046516n
d049.s040.t001 bn:00088939v
d049.s040.t002 bn:00051760n
d049.s040.t003 bn:00007140n
d049.s040.t004 bn:00085252v
d049.s040.t005 bn:00012273n
d049.s040.t006 bn:00041942n
d049.s040.t007 bn:00063743n
d049.s040.t008 bn:00051760n
d049.s040.t009 bn:00051760n
d049.s040.t010 bn:00082790v
d049.s040.t011 bn:00051760n
d049.s040.t012 bn:00046516n
d049.s040.t013 bn:00041942n
d049.s040.t014 bn:00017120n
d049.s040.t015 bn:00116381r
d049.s040.t016 bn:00105751a
d049.s040.t017 bn:00007406n
d049.s041.t000 bn:00083340v
d049.s041.t001 bn:00047159n
d049.s041.t002 bn:00067495n
d049.s041.t003 bn:00048463n
d049.s041.t004 bn:00096027a
d049.s041.t005 bn:00032892n
d049.s041.t006 bn:00101480a
d049.s041.t007 bn:00086883v
d049.s041.t008 bn:00075601n
d049.s041.t009 bn:00095233v
d049.s041.t010 bn:00032512n
d049.s041.t011 bn:00003341n
d049.s042.t000 bn:00086708v
d049.s042.t001 bn:00101614a
d049.s042.t002 bn:00021644n
d049.s042.t003 bn:00046516n
d049.s042.t004 bn:00082536v
d049.s042.t005 bn:00115569r
d049.s042.t006 bn:00111158a
d049.s042.t007 bn:00046019n
d049.s042.t008 bn:00090426v
d049.s042.t009 bn:00106724a
d049.s042.t010 bn:00067291n
d049.s043.t000 bn:00075601n
d049.s043.t001 bn:00088912v bn:00090947v
d049.s043.t002 bn:00046516n
d049.s043.t003 bn:00020718n
d049.s043.t004 bn:00083294v
d049.s043.t005 bn:00103006a
d049.s043.t006 bn:00099733a
d049.s043.t007 bn:00058564n
d049.s043.t008 bn:00041120n
d049.s043.t009 bn:00046516n
d049.s043.t010 bn:00051760n
d049.s043.t011 bn:00041581n
d049.s043.t012 bn:00051760n
d049.s043.t013 bn:00095130v
d049.s043.t014 bn:00066632n
d049.s043.t015 bn:00091166v
d049.s043.t016 bn:00077860n
d049.s043.t017 bn:00054416n
d049.s044.t000 bn:00115153r
d049.s044.t001 bn:00083183v
d049.s044.t002 bn:00051760n
d049.s044.t003 bn:00091139v
d049.s044.t004 bn:00084088v
d049.s044.t005 bn:00063606n
d049.s044.t006 bn:00035361n
d049.s044.t007 bn:00012195n
d049.s044.t008 bn:00007699n
d049.s045.t000 bn:00046516n
d049.s045.t001 bn:00041204n
d049.s045.t002 bn:00051760n
d049.s045.t003 bn:00046516n
d049.s045.t004 bn:00001975n
d049.s045.t005 bn:00041942n
d049.s045.t006 bn:00091192v
d049.s045.t007 bn:00097622a
d049.s045.t008 bn:00006122n
d049.s045.t009 bn:00029680n
d049.s046.t000 bn:00060768n
d049.s046.t001 bn:00041942n
d049.s046.t002 bn:00084538v
d049.s046.t003 bn:00005142n
d049.s046.t004 bn:00096963a
d049.s046.t005 bn:00020712n
d049.s047.t000 bn:00077269n
d049.s047.t001 bn:00082732v
d049.s047.t002 bn:00086525v
d049.s047.t003 bn:00098883a
d049.s047.t004 bn:00096963a
d049.s047.t005 bn:00021649n
d049.s047.t006 bn:00002086n
d049.s047.t007 bn:00021286n
d049.s047.t008 bn:00041942n
d049.s047.t009 bn:00096707a
d049.s047.t010 bn:00063743n
d049.s047.t011 bn:00041942n
d049.s047.t012 bn:00083183v
d049.s047.t013 bn:00096963a
d049.s048.t000 bn:00114106r
d049.s048.t001 bn:00046516n
d049.s048.t002 bn:00001973n
d049.s048.t003 bn:00087644v
d049.s048.t004 bn:00020714n
d049.s048.t005 bn:00090947v
d049.s048.t006 bn:00116373r
d049.s048.t007 bn:00058593n
d049.s048.t008 bn:00046516n
d049.s048.t009 bn:00086988v
d049.s048.t010 bn:00063743n
d049.s048.t011 bn:00088323v
d049.s048.t012 bn:00052293n
d049.s048.t013 bn:00051760n
d049.s048.t014 bn:00065982n
d049.s049.t000 bn:00087108v
d049.s049.t001 bn:00095847v
d049.s049.t002 bn:00083993v
d049.s049.t003 bn:00081136n
d049.s049.t004 bn:00112770a
d049.s049.t005 bn:00031641n
d049.s050.t000 bn:00041942n
d049.s050.t001 bn:00077032n
d049.s050.t002 bn:00115142r
d049.s050.t003 bn:00082225v
d049.s050.t004 bn:00083995v
d049.s050.t005 bn:00042250n
d049.s050.t006 bn:00008121n
d049.s050.t007 bn:00077028n
d049.s050.t008 bn:00034869n
d049.s050.t009 bn:00046516n
d049.s050.t010 bn:00094307v
d049.s050.t011 bn:00070724n
d049.s051.t000 bn:00082844v
d049.s051.t001 bn:00084058v
d049.s051.t002 bn:00037498n
d049.s051.t003 bn:00051760n
d049.s051.t004 bn:00027451n
d049.s051.t005 bn:00025170n
d049.s052.t000 bn:00051760n
d049.s052.t001 bn:00114246r
d049.s052.t002 bn:00086370v
d049.s052.t003 bn:00019222n
d049.s052.t004 bn:00003341n
d049.s052.t005 bn:00110469a
d049.s052.t006 bn:00032892n
d049.s052.t007 bn:00091493v
d049.s052.t008 bn:00042104n
d049.s052.t009 bn:00085567v
d049.s052.t010 bn:00051760n
d049.s053.t000 bn:00016689n
d049.s053.t001 bn:00084700v
d049.s053.t002 bn:00087845v
d049.s054.t000 bn:00104051a
d049.s054.t001 bn:00066032n
d049.s054.t002 bn:00059031n
d049.s054.t003 bn:00056119n
d049.s054.t004 bn:00072456n
d049.s054.t005 bn:00085357v
d049.s054.t006 bn:00058593n
d049.s054.t007 bn:00095928a
d049.s054.t008 bn:00092756v
d049.s054.t009 bn:00028934n
d049.s054.t010 bn:00081370n
d049.s054.t011 bn:00117043r
d049.s054.t012 bn:00099981a
d049.s054.t013 bn:00045706n
d049.s054.t014 bn:00066632n
d049.s054.t015 bn:00083181v
d049.s054.t016 bn:00096027a
d049.s054.t017 bn:00035680n
d049.s054.t018 bn:00111824a
d049.s055.t000 bn:00005169n
d049.s055.t001 bn:00085320v
d049.s055.t002 bn:00109437a
d049.s055.t003 bn:00076778n
d049.s055.t004 bn:00084069v
d049.s055.t005 bn:00011766n
d049.s055.t006 bn:00116360r
d049.s055.t007 bn:00087267v
d049.s055.t008 bn:00054823n
d049.s056.t000 bn:00048592n
d049.s056.t001 bn:00095963a
d049.s056.t002 bn:00106936a
d049.s056.t003 bn:00032892n
d049.s056.t004 bn:00083340v
d049.s056.t005 bn:00095975a
d049.s056.t006 bn:00055794n
d049.s056.t007 bn:00078318n
d049.s056.t008 bn:00017609n
d049.s056.t009 bn:00055331n
d049.s057.t000 bn:00007406n
d049.s057.t001 bn:00074982n
d049.s057.t002 bn:00097470a
d049.s057.t003 bn:00048463n
d049.s057.t004 bn:00085206v
d049.s057.t005 bn:00051760n
d049.s057.t006 bn:00088506v
d049.s057.t007 bn:00051760n
d049.s057.t008 bn:00037498n
d049.s057.t009 bn:00088912v
d049.s057.t010 bn:00115323r
d049.s057.t011 bn:00051760n
d049.s057.t012 bn:00044720n
d049.s057.t013 bn:00107627a
d049.s057.t014 bn:00111553a
d049.s057.t015 bn:00017120n
d049.s057.t016 bn:00003341n
d049.s058.t000 bn:00066632n
d049.s058.t001 bn:00061450n
d049.s058.t002 bn:00012273n
d049.s058.t003 bn:00087441v
d049.s058.t004 bn:00067291n
d049.s058.t005 bn:00051760n
d049.s059.t000 bn:00035974n
d049.s059.t001 bn:00104163a
d049.s059.t002 bn:00011602n
d049.s059.t003 bn:00085720v
d049.s059.t004 bn:00117463r
d049.s059.t005 bn:00096044a
d049.s059.t006 bn:00047159n
d049.s059.t007 bn:00055331n
d049.s060.t000 bn:00063214n
d049.s060.t001 bn:00084711v
d049.s060.t002 bn:00020718n
d049.s060.t003 bn:00082757v
d049.s060.t004 bn:00017719n
d049.s060.t005 bn:00084198v
d049.s060.t006 bn:00011674n
d049.s060.t007 bn:00049863n
d049.s060.t008 bn:00046516n
d049.s061.t000 bn:00019283n
d049.s061.t001 bn:00089660v
d049.s061.t002 bn:00046516n
d049.s061.t003 bn:00108011a
d049.s061.t004 bn:00041942n
d049.s061.t005 bn:00030618n
d049.s061.t006 bn:00066857n
d049.s061.t007 bn:00051760n
d049.s061.t008 bn:00089983v
d049.s061.t009 bn:00069773n
d049.s061.t010 bn:00075601n
d049.s061.t011 bn:00051760n
d049.s061.t012 bn:00046516n
d049.s061.t013 bn:00087857v
d049.s061.t014 bn:00067291n
d049.s061.t015 bn:00053941n
d049.s062.t000 bn:00096273a
d049.s062.t001 bn:00077773n
d049.s062.t002 bn:00091704v
d049.s062.t003 bn:00084385v
d049.s062.t004 bn:00061048n
d049.s062.t005 bn:00046516n
d049.s062.t006 bn:00035832n
d049.s062.t007 bn:00046516n
d049.s062.t008 bn:00083294v
d049.s062.t009 bn:00104680a
d049.s062.t010 bn:00017120n
d049.s062.t011 bn:00036882n
d049.s062.t012 bn:00077860n
d049.s062.t013 bn:00082277v
d049.s062.t014 bn:00107267a
d049.s062.t015 bn:00047079n
d049.s062.t016 bn:00085719v
d049.s062.t017 bn:00066632n
d049.s063.t000 bn:00063597n
d049.s063.t001 bn:00051760n
d049.s063.t002 bn:00089666v
d049.s063.t003 bn:00114307r
d049.s063.t004 bn:00102001a
d049.s063.t005 bn:00017621n
d049.s063.t006 bn:00116360r
d049.s063.t007 bn:00089666v
d049.s063.t008 bn:00110647a
d049.s063.t009 bn:00066236n
d049.s064.t000 bn:00114106r
d049.s064.t001 bn:00061054n
d049.s064.t002 bn:00083911v
d049.s064.t003 bn:00107314a
d049.s064.t004 bn:00090744v
d049.s064.t005 bn:00064921n
d049.s064.t006 bn:00046516n
d049.s064.t007 bn:00017906n
d049.s064.t008 bn:00001172n
d049.s064.t009 bn:00054416n
d049.s064.t010 bn:00036882n
d049.s064.t011 bn:00041942n
d049.s064.t012 bn:00020714n
d049.s064.t013 bn:00088913v
d049.s064.t014 bn:00077860n
d049.s065.t000 bn:00041942n
d049.s065.t001 bn:00085644v
d049.s065.t002 bn:00071215n
d049.s065.t003 bn:00054416n
d049.s065.t004 bn:00030861n
d049.s065.t005 bn:00084331v
d049.s065.t006 bn:00084088v
d049.s065.t007 bn:00107267a
d049.s065.t008 bn:00054417n
d049.s065.t009 bn:00002086n
d049.s065.t010 bn:00090744v
d049.s065.t011 bn:00036882n
d049.s066.t000 bn:00008263n
d049.s066.t001 bn:00051760n
d049.s066.t002 bn:00054417n
d049.s066.t003 bn:00095060v
d049.s066.t004 bn:00003418n
d049.s066.t005 bn:00036882n
d049.s067.t000 bn:00048592n
d049.s067.t001 bn:00041204n
d049.s067.t002 bn:00023119n
d049.s067.t003 bn:00051760n
d049.s067.t004 bn:00089630v
d049.s067.t005 bn:00095952a
d049.s067.t006 bn:00061135n
d049.s067.t007 bn:00029241n
d049.s067.t008 bn:00046137n
d049.s067.t009 bn:00051760n
d049.s067.t010 bn:00086435v
d049.s067.t011 bn:00082489v
d049.s067.t012 bn:00113573a
d049.s067.t013 bn:00080140n
d049.s067.t014 bn:00041942n
d049.s067.t015 bn:00077860n
d049.s067.t016 bn:00063940n
d049.s068.t000 bn:00092595v
d049.s068.t001 bn:00115329r
d049.s068.t002 bn:00035372n
d049.s068.t003 bn:00030861n
d049.s068.t004 bn:00041942n
d049.s068.t005 bn:00106108a
d049.s068.t006 bn:00036837n
d049.s068.t007 bn:00082818v
d049.s068.t008 bn:00013179n
d049.s068.t009 bn:00007299n
d049.s068.t010 bn:00036018n
d049.s068.t011 bn:00097285a
d049.s068.t012 bn:00077860n
d049.s068.t013 bn:00001533n
d049.s069.t000 bn:00096299a
d049.s069.t001 bn:00072944n
d049.s069.t002 bn:00075322n
d049.s069.t003 bn:00100824a
d049.s069.t004 bn:00051760n
d049.s069.t005 bn:00036370n
