d000.s00000.t00000 bn:00086431v
d000.s19077.t00000 bn:00075333n
d000.s19077.t00001 bn:00004222n
d000.s19078.t00000 bn:00079643n
d000.s19078.t00001 bn:00111323a
d000.s19079.t00000 bn:00067705n
d000.s19080.t00000 bn:00084532v
d000.s19080.t00001 bn:00100896a
d000.s19081.t00000 bn:00005387n
d000.s19082.t00000 bn:00067705n
d000.s19082.t00001 bn:00019980n
d000.s19083.t00000 bn:00067704n
d000.s19083.t00001 bn:00106125a
d000.s19083.t00002 bn:00053803n
d000.s19083.t00003 bn:00086008v
d000.s19084.t00000 bn:00013722n
d000.s19084.t00001 bn:00100385a
d000.s19084.t00002 bn:00067975n
d000.s19085.t00000 bn:00078798n
d000.s19085.t00001 bn:00060208n
d000.s19086.t00000 bn:00106058a
d000.s19086.t00001 bn:00044408n
d000.s19087.t00000 bn:00067705n
d000.s19088.t00000 bn:00093014v
d000.s19088.t00001 bn:00003693n
d000.s19089.t00000 bn:00104328a
d000.s19089.t00001 bn:00048878n
d000.s19089.t00002 bn:00071103n
d000.s19090.t00000 bn:00068220n
d000.s19091.t00000 bn:00071103n
d000.s19092.t00000 bn:00098342a
d000.s19092.t00001 bn:00014458n
d000.s19092.t00002 bn:00003895n
d000.s19093.t00000 bn:00012166n
d000.s19093.t00001 bn:00093013v
d000.s19093.t00002 bn:00031345n
d000.s19094.t00000 bn:00050078n
d000.s19094.t00001 bn:00110562a
d000.s19094.t00002 bn:00030718n
d000.s19094.t00003 bn:00091165v
d000.s19094.t00004 bn:00037486n
d000.s19095.t00000 bn:00084532v
d000.s19095.t00001 bn:00075796n
d000.s19096.t00000 bn:00034676n
d000.s19096.t00001 bn:00071294n
d000.s19096.t00002 bn:00008690n
d000.s19096.t00003 bn:00106125a
d000.s19097.t00000 bn:00013807n
d000.s19097.t00001 bn:00086913v
d000.s19097.t00002 bn:00021751n
d000.s19098.t00000 bn:00067785n
d000.s19099.t00000 bn:00041757n
d000.s19099.t00001 bn:00026716n
d000.s19099.t00002 bn:00050208n
d000.s19099.t00003 bn:00008690n
d000.s19099.t00004 bn:00067785n
d000.s19100.t00000 bn:00061450n
d000.s19100.t00001 bn:00087318v
d000.s19100.t00002 bn:00067785n
d000.s19101.t00000 bn:00052571n
d000.s19101.t00001 bn:00107183a
d000.s19101.t00002 bn:00031008n
d000.s19102.t00000 bn:00035943n
d000.s19102.t00001 bn:00053706n
d000.s19103.t00000 bn:00106125a
d000.s19103.t00001 bn:00108737a
d000.s19103.t00002 bn:00006182n
d000.s19104.t00000 bn:00068266n
d000.s19104.t00001 bn:00089387v
d000.s19104.t00002 bn:00053706n
d000.s19104.t00003 bn:00071103n
d000.s19105.t00000 bn:00060634n
d000.s19106.t00000 bn:00060883n
d000.s19107.t00000 bn:00080972n
d000.s19108.t00000 bn:00094634v
d000.s19108.t00001 bn:00054497n
d000.s19109.t00000 bn:00034565n
d000.s19110.t00000 bn:00062898n
d000.s19110.t00001 bn:00114778r
d000.s19110.t00002 bn:00068266n
d000.s19110.t00003 bn:00022164n
d000.s19110.t00004 bn:00095845v
d000.s19111.t00000 bn:00008287n
d000.s19111.t00001 bn:00106058a
d000.s19112.t00000 bn:00019169n
d000.s19112.t00001 bn:00114778r
d000.s19112.t00002 bn:00100577a
d000.s19113.t00000 bn:00071511n
d000.s19114.t00000 bn:00013722n
d000.s19114.t00001 bn:00075373n
d000.s19115.t00000 bn:00034676n
d000.s19115.t00001 bn:00083993v
d000.s19115.t00002 bn:00084076v
d000.s19115.t00003 bn:00100896a
d000.s19115.t00004 bn:00025583n
d000.s19116.t00000 bn:00091165v
d000.s19116.t00001 bn:00019032n
d000.s19116.t00002 bn:00060106n
d000.s19116.t00003 bn:00026499n
d000.s19117.t00000 bn:00091165v
d000.s19117.t00001 bn:00098887a
d000.s19117.t00002 bn:00085356v
d000.s19118.t00000 bn:00050864n
d000.s19118.t00001 bn:00074123n
d000.s19119.t00000 bn:00106125a
d000.s19119.t00001 bn:00018545n
d000.s19119.t00002 bn:00116286r
d000.s19120.t00000 bn:00086179v
d000.s19120.t00001 bn:00081492n
d000.s19121.t00000 bn:00073848n
d000.s19122.t00000 bn:00062568n
d000.s19122.t00001 bn:00013722n
d000.s19123.t00000 bn:00044294n
d000.s19124.t00000 bn:00044967n
d000.s19125.t00000 bn:00011674n
d000.s19126.t00000 bn:00062448n
d000.s19126.t00001 bn:00043275n
d000.s19126.t00002 bn:00089159v
d000.s19126.t00003 bn:00044408n
d000.s19127.t00000 bn:00052556n
d000.s19128.t00000 bn:00060207n
d000.s19128.t00001 bn:00072332n
d000.s19128.t00002 bn:00015287n
d000.s19129.t00000 bn:00067975n
d000.s19129.t00001 bn:00080721n
d000.s19129.t00002 bn:00107880a
d000.s19129.t00003 bn:00109211a
d000.s19129.t00004 bn:00022381n
d000.s19130.t00000 bn:00089387v
d000.s19130.t00001 bn:00067975n
d000.s19131.t00000 bn:00008713n
d000.s19131.t00001 bn:00022026n
d000.s19131.t00002 bn:00094398v
d000.s19131.t00003 bn:00074596n
d000.s19131.t00004 bn:00084509v
d000.s19131.t00005 bn:00036749n
d000.s19131.t00006 bn:00089776v
d000.s19132.t00000 bn:00007078n
d000.s19132.t00001 bn:00044128n
d000.s19132.t00002 bn:00012195n
d000.s19132.t00003 bn:00086272v
d000.s19132.t00004 bn:00037169n
d000.s19133.t00000 bn:00053303n
d000.s19133.t00001 bn:00093682v
d000.s19133.t00002 bn:00067975n
d000.s19134.t00000 bn:00007309n
d000.s19134.t00001 bn:00102600a
d000.s19134.t00002 bn:00103359a
d000.s19135.t00000 bn:00079675n
d000.s19136.t00000 bn:00110996a
d000.s19136.t00001 bn:00093069v
d000.s19137.t00000 bn:00037352n
d000.s19138.t00000 bn:00090478v
d000.s19139.t00000 bn:00068035n
d000.s19140.t00000 bn:00084069v
d000.s19141.t00000 bn:00068149n
d000.s19142.t00000 bn:00075335n
d000.s19142.t00001 bn:00100802a
d000.s19142.t00002 bn:00082536v
d000.s19142.t00003 bn:00058442n
d000.s19143.t00000 bn:00100802a
d000.s19144.t00000 bn:00082470v
d000.s19144.t00001 bn:00097775a
d000.s19144.t00002 bn:00042379n
d000.s19144.t00003 bn:00087076v
d000.s19145.t00000 bn:00050864n
d000.s19145.t00001 bn:00079519n
d000.s19146.t00000 bn:00079675n
d000.s19147.t00000 bn:00106725a
d000.s19148.t00000 bn:00037300n
d000.s19148.t00001 bn:00035324n
d000.s19148.t00002 bn:00096884a
d000.s19149.t00000 bn:00106125a
d000.s19149.t00001 bn:00002936n
d000.s19149.t00002 bn:00081492n
d000.s19150.t00000 bn:00030693n
d000.s19150.t00001 bn:00012273n
d000.s19151.t00000 bn:00087890v
d000.s19151.t00001 bn:00034472n
d000.s19152.t00000 bn:00035908n
d000.s19152.t00001 bn:00100846a
d000.s19153.t00000 bn:00022129n
d000.s19153.t00001 bn:00092103v
d000.s19153.t00002 bn:00051108n
d000.s19154.t00000 bn:00024779n
d000.s19155.t00000 bn:00080972n
d000.s19155.t00001 bn:00106058a
d000.s19156.t00000 bn:00097577a
d000.s19156.t00001 bn:00113502a
d000.s19156.t00002 bn:00024779n
d000.s19156.t00003 bn:00005094n
d000.s19157.t00000 bn:00071172n
d000.s19157.t00001 bn:00072703n
d000.s19158.t00000 bn:00009869n
d000.s19158.t00001 bn:00111186a
d000.s19159.t00000 bn:00071172n
d000.s19159.t00001 bn:00072703n
d000.s19160.t00000 bn:00077761n
d000.s19160.t00001 bn:00068149n
d000.s19161.t00000 bn:00011708n
d000.s19162.t00000 bn:00068266n
d000.s19163.t00000 bn:00002936n
d000.s19163.t00001 bn:00008464n
d000.s19164.t00000 bn:00024779n
d000.s19164.t00001 bn:00114778r
d000.s19164.t00002 bn:00081492n
d000.s19164.t00003 bn:00028432n
d000.s19165.t00000 bn:00066020n
d000.s19165.t00001 bn:00016254n
d000.s19165.t00002 bn:00056041n
d000.s19166.t00000 bn:00035596n
d000.s19166.t00001 bn:00007699n
d000.s19166.t00002 bn:00024779n
d000.s19167.t00000 bn:00001530n
d000.s19167.t00001 bn:00044197n
d000.s19168.t00000 bn:00068139n
d000.s19168.t00001 bn:00027656n
d000.s19168.t00002 bn:00022967n
d000.s19168.t00003 bn:00106033a
d000.s19168.t00004 bn:00008122n
d000.s19168.t00005 bn:00005101n
d000.s19169.t00000 bn:00054625n
d000.s19169.t00001 bn:00022379n
d000.s19169.t00002 bn:00034131n
d000.s19169.t00003 bn:00066028n
d000.s19169.t00004 bn:00079675n
d000.s19169.t00005 bn:00026601n
d000.s19170.t00000 bn:00013722n
d000.s19170.t00001 bn:00097066a
d000.s19170.t00002 bn:00068173n
d000.s19171.t00000 bn:00100846a
d000.s19171.t00001 bn:00092059v
d000.s19171.t00002 bn:00008122n
d000.s19171.t00003 bn:00034625n
d000.s19172.t00000 bn:00037352n
d000.s19172.t00001 bn:00018345n
d000.s19172.t00002 bn:00088480v
d000.s19173.t00000 bn:00087099v
d000.s19173.t00001 bn:00057067n
d000.s19173.t00002 bn:00018665n
d000.s19174.t00000 bn:00085903v
d000.s19174.t00001 bn:00085670v
d000.s19174.t00002 bn:00013722n
d000.s19175.t00000 bn:00068221n
d000.s19175.t00001 bn:00064838n
d000.s19176.t00000 bn:00037300n
d000.s19176.t00001 bn:00068220n
d000.s19176.t00002 bn:00013722n
d000.s19177.t00000 bn:00053801n
d000.s19178.t00000 bn:00063214n
d000.s19179.t00000 bn:00068233n
d000.s19179.t00001 bn:00005517n
d000.s19179.t00002 bn:00013722n
d000.s19179.t00003 bn:00016974n
d000.s19180.t00000 bn:00106058a
d000.s19180.t00001 bn:00021306n
d000.s19181.t00000 bn:00045957n
d000.s19181.t00001 bn:00103507a
d000.s19181.t00002 bn:00068233n
d000.s19182.t00000 bn:00071020n
d000.s19183.t00000 bn:00032110n
d000.s19183.t00001 bn:00089368v
d000.s19184.t00000 bn:00013077n
d000.s19184.t00001 bn:00068266n
d000.s19185.t00000 bn:00049652n
d000.s19185.t00001 bn:00068266n
d000.s19186.t00000 bn:00091135v
d000.s19186.t00001 bn:00068266n
d000.s19187.t00000 bn:00081570n
d000.s19187.t00001 bn:00106125a
d000.s19187.t00002 bn:00061006n
d000.s19187.t00003 bn:00070964n
d000.s19187.t00004 bn:00086013v
d000.s19187.t00005 bn:00068266n
d000.s19188.t00000 bn:00064039n
d000.s19189.t00000 bn:00037300n
d000.s19190.t00000 bn:00033729n
d000.s19190.t00001 bn:00107596a
d000.s19190.t00002 bn:00108172a
d000.s19190.t00003 bn:00006129n
d000.s19190.t00004 bn:00103122a
d000.s19191.t00000 bn:00025765n
d000.s19191.t00001 bn:00092876v
d000.s19191.t00002 bn:00007896n
d000.s19191.t00003 bn:00000937n
d000.s19191.t00004 bn:00082280v
d000.s19191.t00005 bn:00000704n
d000.s19192.t00000 bn:00031629n
d000.s19192.t00001 bn:00058732n
d000.s19193.t00000 bn:00077823n
d000.s19194.t00000 bn:00007922n
d000.s19194.t00001 bn:00045278n
d000.s19194.t00002 bn:00008804n
d000.s19194.t00003 bn:00082573v
d000.s19194.t00004 bn:00019475n
d000.s19194.t00005 bn:00008120n
d000.s19195.t00000 bn:00001192n
d000.s19195.t00001 bn:00025332n
d000.s19196.t00000 bn:00084556v
d000.s19196.t00001 bn:00115030r
d000.s19197.t00000 bn:00064246n
d000.s19197.t00001 bn:00024779n
d000.s19198.t00000 bn:00054065n
d000.s19199.t00000 bn:00092995v
d000.s19199.t00001 bn:00084556v
d000.s19199.t00002 bn:00056029n
d000.s19200.t00000 bn:00029545n
d000.s19200.t00001 bn:00054026n
d000.s19201.t00000 bn:00059829n
d000.s19201.t00001 bn:00054026n
d000.s19202.t00000 bn:00068345n
d000.s19203.t00000 bn:00068343n
d000.s19203.t00001 bn:00005726n
d000.s19203.t00002 bn:00056041n
d000.s19203.t00003 bn:00037685n
d000.s19204.t00000 bn:00068344n
d000.s19204.t00001 bn:00008464n
d000.s19204.t00002 bn:00027796n
d000.s19205.t00000 bn:00106125a
d000.s19205.t00001 bn:00089387v
d000.s19205.t00002 bn:00018734n
d000.s19206.t00000 bn:00068345n
d000.s19206.t00001 bn:00018734n
d000.s19207.t00000 bn:00098342a
d000.s19207.t00001 bn:00068233n
d000.s19208.t00000 bn:00013722n
d000.s19208.t00001 bn:00028147n
d000.s19209.t00000 bn:00052907n
d000.s19209.t00001 bn:00108605a
d000.s19209.t00002 bn:00018024n
d000.s19210.t00000 bn:00055448n
d000.s19210.t00001 bn:00108949a
d000.s19211.t00000 bn:00020497n
d000.s19211.t00001 bn:00060464n
d000.s19212.t00000 bn:00067705n
d000.s19213.t00000 bn:00080972n
d000.s19213.t00001 bn:00077594n
d000.s19213.t00002 bn:00086008v
d000.s19214.t00000 bn:00008120n
d000.s19214.t00001 bn:00068373n
d000.s19215.t00000 bn:00037169n
d000.s19215.t00001 bn:00115690r
d000.s19215.t00002 bn:00060799n
d000.s19215.t00003 bn:00089154v
d000.s19215.t00004 bn:00068375n
d000.s19216.t00000 bn:00059000n
d000.s19216.t00001 bn:00003543n
d000.s19217.t00000 bn:00005387n
d000.s19217.t00001 bn:00100385a
d000.s19218.t00000 bn:00099702a
d000.s19218.t00001 bn:00092103v
d000.s19218.t00002 bn:00005791n
d000.s19219.t00000 bn:00077585n
d000.s19219.t00001 bn:00093135v
d000.s19220.t00000 bn:00023976n
d000.s19220.t00001 bn:00044408n
d000.s19221.t00000 bn:00081570n
d000.s19221.t00001 bn:00013722n
d000.s19221.t00002 bn:00030852n
d000.s19222.t00000 bn:00049329n
d000.s19223.t00000 bn:00016203n
d000.s19223.t00001 bn:00086196v
d000.s19224.t00000 bn:00026716n
d000.s19224.t00001 bn:00060117n
d000.s19224.t00002 bn:00025314n
d000.s19224.t00003 bn:00021488n
d000.s19225.t00000 bn:00043273n
d000.s19225.t00001 bn:00086008v
d000.s19226.t00000 bn:00106058a
d000.s19226.t00001 bn:00080972n
d000.s19226.t00002 bn:00030718n
d000.s19227.t00000 bn:00104505a
d000.s19227.t00001 bn:00080386n
d000.s19227.t00002 bn:00100092a
d000.s19228.t00000 bn:00005387n
d000.s19228.t00001 bn:00085670v
d000.s19228.t00002 bn:00100191a
d000.s19229.t00000 bn:00013047n
d000.s19229.t00001 bn:00090224v
d000.s19229.t00002 bn:00114778r
d000.s19230.t00000 bn:00115742r
d000.s19231.t00000 bn:00015396n
d000.s19231.t00001 bn:00102068a
d000.s19231.t00002 bn:00089384v
d000.s19231.t00003 bn:00076924n
d000.s19231.t00004 bn:00028015n
d000.s19232.t00000 bn:00012166n
d000.s19232.t00001 bn:00068457n
d000.s19233.t00000 bn:00013807n
d000.s19234.t00000 bn:00031360n
d000.s19234.t00001 bn:00053801n
d000.s19234.t00002 bn:00106371a
d000.s19234.t00003 bn:00114778r
d000.s19234.t00004 bn:00061334n
d000.s19235.t00000 bn:00067191n
d000.s19235.t00001 bn:00030903n
d000.s19235.t00002 bn:00060464n
d000.s19235.t00003 bn:00093144v
d000.s19236.t00000 bn:00005096n
d000.s19236.t00001 bn:00072760n
d000.s19236.t00002 bn:00108744a
d000.s19236.t00003 bn:00101169a
d000.s19236.t00004 bn:00102624a
d000.s19237.t00000 bn:00054128n
d000.s19237.t00001 bn:00005094n
d000.s19237.t00002 bn:00102624a
d000.s19237.t00003 bn:00084069v
d000.s19237.t00004 bn:00024643n
d000.s19238.t00000 bn:00062876n
d000.s19238.t00001 bn:00001861n
d000.s19239.t00000 bn:00030590n
d000.s19239.t00001 bn:00002275n
d000.s19239.t00002 bn:00104328a
d000.s19239.t00003 bn:00023286n
d000.s19240.t00000 bn:00068495n
d000.s19241.t00000 bn:00063744n
d000.s19242.t00000 bn:00114778r
d000.s19243.t00000 bn:00008120n
d000.s19243.t00001 bn:00102056a
d000.s19243.t00002 bn:00068511n
d000.s19244.t00000 bn:00013722n
d000.s19244.t00001 bn:00101257a
d000.s19245.t00000 bn:00081492n
d000.s19245.t00001 bn:00054550n
d000.s19245.t00002 bn:00062856n
d000.s19245.t00003 bn:00050662n
d000.s19246.t00000 bn:00070066n
d000.s19246.t00001 bn:00016241n
d000.s19247.t00000 bn:00070066n
d000.s19247.t00001 bn:00007309n
d000.s19248.t00000 bn:00098342a
d000.s19248.t00001 bn:00012493n
d000.s19249.t00000 bn:00107334a
d000.s19250.t00000 bn:00085670v
d000.s19250.t00001 bn:00049652n
d000.s19251.t00000 bn:00017515n
d000.s19252.t00000 bn:00026716n
d000.s19252.t00001 bn:00093876v
d000.s19253.t00000 bn:00016205n
d000.s19253.t00001 bn:00106125a
d000.s19254.t00000 bn:00028247n
d000.s19254.t00001 bn:00007309n
d000.s19255.t00000 bn:00071172n
d000.s19255.t00001 bn:00105937a
d000.s19255.t00002 bn:00100067a
d000.s19256.t00000 bn:00106058a
d000.s19256.t00001 bn:00042759n
d000.s19257.t00000 bn:00047823n
d000.s19257.t00001 bn:00060423n
d000.s19257.t00002 bn:00082172v
d000.s19257.t00003 bn:00061748n
d000.s19258.t00000 bn:00001697n
d000.s19259.t00000 bn:00062898n
d000.s19259.t00001 bn:00073816n
d000.s19259.t00002 bn:00007096n
d000.s19259.t00003 bn:00045002n
d000.s19259.t00004 bn:00014419n
d000.s19260.t00000 bn:00015211n
d000.s19261.t00000 bn:00019980n
d000.s19262.t00000 bn:00049181n
d000.s19263.t00000 bn:00011086n
d000.s19263.t00001 bn:00116286r
d000.s19263.t00002 bn:00100802a
d000.s19264.t00000 bn:00108815a
d000.s19264.t00001 bn:00005092n
d000.s19264.t00002 bn:00035907n
d000.s19264.t00003 bn:00024613n
d000.s19264.t00004 bn:00114634r
d000.s19264.t00005 bn:00062876n
d000.s19264.t00006 bn:00075373n
d000.s19265.t00000 bn:00079447n
d000.s19265.t00001 bn:00046046n
d000.s19265.t00002 bn:00001208n
d000.s19266.t00000 bn:00069523n
d000.s19267.t00000 bn:00013489n
d000.s19267.t00001 bn:00042526n
d000.s19268.t00000 bn:00036882n
d000.s19269.t00000 bn:00071172n
d000.s19269.t00001 bn:00081492n
d000.s19270.t00000 bn:00106058a
d000.s19270.t00001 bn:00007922n
d000.s19270.t00002 bn:00063926n
d000.s19270.t00003 bn:00108450a
d000.s19270.t00004 bn:00028636n
d000.s19271.t00000 bn:00060464n
d000.s19271.t00001 bn:00062856n
d000.s19271.t00002 bn:00065266n
d000.s19272.t00000 bn:00001530n
d000.s19272.t00001 bn:00047823n
d000.s19273.t00000 bn:00046965n
d000.s19273.t00001 bn:00078389n
d000.s19274.t00000 bn:00019980n
d000.s19275.t00000 bn:00037352n
d000.s19275.t00001 bn:00114423r
d000.s19275.t00002 bn:00046473n
d000.s19275.t00003 bn:00021461n
d000.s19276.t00000 bn:00007733n
d000.s19276.t00001 bn:00075103n
d000.s19277.t00000 bn:00068762n
d000.s19277.t00001 bn:00070066n
d000.s19277.t00002 bn:00031345n
d000.s19277.t00003 bn:00014993n
d000.s19278.t00000 bn:00071172n
d000.s19279.t00000 bn:00098342a
d000.s19280.t00000 bn:00011119n
d000.s19281.t00000 bn:00020726n
d000.s19282.t00000 bn:00071216n
d000.s19283.t00000 bn:00072496n
d000.s19283.t00001 bn:00106719a
d000.s19283.t00002 bn:00085062v
d000.s19283.t00003 bn:00085561v
d000.s19283.t00004 bn:00050452n
d000.s19284.t00000 bn:00100528a
d000.s19284.t00001 bn:00020726n
d000.s19285.t00000 bn:00019955n
d000.s19285.t00001 bn:00113542a
d000.s19285.t00002 bn:00061780n
d000.s19286.t00000 bn:00008371n
d000.s19286.t00001 bn:00089368v
d000.s19287.t00000 bn:00006678n
d000.s19287.t00001 bn:00006994n
d000.s19288.t00000 bn:00006678n
d000.s19289.t00000 bn:00005387n
d000.s19289.t00001 bn:00083317v
d000.s19289.t00002 bn:00089387v
d000.s19289.t00003 bn:00022071n
d000.s19290.t00000 bn:00082893v
d000.s19290.t00001 bn:00058442n
d000.s19290.t00002 bn:00022063n
d000.s19290.t00003 bn:00090033v
d000.s19291.t00000 bn:00010248n
d000.s19291.t00001 bn:00071887n
d000.s19291.t00002 bn:00035694n
d000.s19291.t00003 bn:00109505a
d000.s19291.t00004 bn:00020468n
d000.s19292.t00000 bn:00011902n
d000.s19293.t00000 bn:00026716n
d000.s19293.t00001 bn:00090033v
d000.s19293.t00002 bn:00086910v
d000.s19293.t00003 bn:00005704n
d000.s19294.t00000 bn:00062570n
d000.s19294.t00001 bn:00015400n
d000.s19295.t00000 bn:00116360r
d000.s19295.t00001 bn:00089581v
d000.s19295.t00002 bn:00037383n
d000.s19295.t00003 bn:00103055a
d000.s19296.t00000 bn:00060464n
d000.s19296.t00001 bn:00075373n
d000.s19296.t00002 bn:00115236r
d000.s19296.t00003 bn:00108965a
d000.s19297.t00000 bn:00054497n
d000.s19297.t00001 bn:00098342a
d000.s19297.t00002 bn:00084654v
d000.s19297.t00003 bn:00087976v
d000.s19297.t00004 bn:00078077n
d000.s19298.t00000 bn:00035908n
d000.s19298.t00001 bn:00116360r
d000.s19298.t00002 bn:00079373n
d000.s19299.t00000 bn:00073851n
d000.s19299.t00001 bn:00067975n
d000.s19299.t00002 bn:00068799n
d000.s19300.t00000 bn:00066322n
d000.s19300.t00001 bn:00088454v
d000.s19300.t00002 bn:00024603n
d000.s19300.t00003 bn:00024643n
d000.s19301.t00000 bn:00079519n
d000.s19301.t00001 bn:00022129n
d000.s19301.t00002 bn:00091167v
d000.s19301.t00003 bn:00082901v
d000.s19301.t00004 bn:00100895a
d000.s19302.t00000 bn:00068849n
d000.s19302.t00001 bn:00098342a
d000.s19302.t00002 bn:00114778r
d000.s19302.t00003 bn:00002216n
d000.s19302.t00004 bn:00089614v
d000.s19303.t00000 bn:00106058a
d000.s19303.t00001 bn:00053706n
d000.s19304.t00000 bn:00023073n
d000.s19304.t00001 bn:00020602n
d000.s19305.t00000 bn:00002216n
d000.s19305.t00001 bn:00053706n
d000.s19306.t00000 bn:00116360r
d000.s19307.t00000 bn:00011591n
d000.s19308.t00000 bn:00079079n
d000.s19309.t00000 bn:00116044r
d000.s19309.t00001 bn:00015115n
d000.s19309.t00002 bn:00071103n
d000.s19310.t00000 bn:00068899n
d000.s19310.t00001 bn:00061333n
d000.s19311.t00000 bn:00098342a
d000.s19311.t00001 bn:00082565v
d000.s19311.t00002 bn:00068899n
d000.s19312.t00000 bn:00035902n
d000.s19312.t00001 bn:00087460v
d000.s19312.t00002 bn:00068899n
d000.s19313.t00000 bn:00062878n
d000.s19313.t00001 bn:00104972a
d000.s19313.t00002 bn:00068899n
d000.s19314.t00000 bn:00021538n
d000.s19314.t00001 bn:00072760n
d000.s19314.t00002 bn:00068991n
d000.s19314.t00003 bn:00026259n
d000.s19315.t00000 bn:00063334n
d000.s19315.t00001 bn:00089746v
d000.s19315.t00002 bn:00046046n
d000.s19315.t00003 bn:00001208n
d000.s19316.t00000 bn:00043623n
d000.s19317.t00000 bn:00068980n
d000.s19317.t00001 bn:00042090n
d000.s19318.t00000 bn:00009443n
d000.s19318.t00001 bn:00071215n
d000.s19318.t00002 bn:00042550n
d000.s19319.t00000 bn:00078798n
d000.s19319.t00001 bn:00044994n
d000.s19320.t00000 bn:00106058a
d000.s19320.t00001 bn:00022129n
d000.s19320.t00002 bn:00083225v
d000.s19320.t00003 bn:00021160n
d000.s19321.t00000 bn:00055114n
d000.s19321.t00001 bn:00068991n
d000.s19322.t00000 bn:00108449a
d000.s19322.t00001 bn:00087007v
d000.s19322.t00002 bn:00021160n
d000.s19323.t00000 bn:00046568n
d000.s19323.t00001 bn:00068991n
d000.s19323.t00002 bn:00086013v
d000.s19323.t00003 bn:00114777r
d000.s19324.t00000 bn:00062878n
d000.s19324.t00001 bn:00098342a
d000.s19324.t00002 bn:00028749n
d000.s19324.t00003 bn:00114778r
d000.s19324.t00004 bn:00001887n
d000.s19325.t00000 bn:00042682n
d000.s19326.t00000 bn:00111923a
d000.s19326.t00001 bn:00004293n
d000.s19326.t00002 bn:00001530n
d000.s19326.t00003 bn:00074873n
d000.s19326.t00004 bn:00104941a
d000.s19326.t00005 bn:00114778r
d000.s19327.t00000 bn:00069043n
d000.s19327.t00001 bn:00110971a
d000.s19328.t00000 bn:00071303n
d000.s19328.t00001 bn:00071294n
d000.s19329.t00000 bn:00105516a
d000.s19329.t00001 bn:00092876v
d000.s19329.t00002 bn:00008361n
d000.s19329.t00003 bn:00106125a
d000.s19329.t00004 bn:00074683n
d000.s19329.t00005 bn:00109553a
d000.s19330.t00000 bn:00019980n
d000.s19330.t00001 bn:00071599n
d000.s19330.t00002 bn:00001887n
d000.s19330.t00003 bn:00006911n
d000.s19330.t00004 bn:00086013v
d000.s19330.t00005 bn:00006125n
d000.s19331.t00000 bn:00079345n
d000.s19331.t00001 bn:00106649a
d000.s19331.t00002 bn:00042379n
d000.s19331.t00003 bn:00076264n
d000.s19332.t00000 bn:00097584a
d000.s19332.t00001 bn:00114778r
d000.s19332.t00002 bn:00058406n
d000.s19333.t00000 bn:00030503n
d000.s19333.t00001 bn:00082913v
d000.s19333.t00002 bn:00074326n
d000.s19334.t00000 bn:00069079n
d000.s19335.t00000 bn:00069119n
d000.s19335.t00001 bn:00044896n
d000.s19335.t00002 bn:00022315n
d000.s19335.t00003 bn:00047235n
d000.s19335.t00004 bn:00027546n
d000.s19335.t00005 bn:00099667a
d000.s19336.t00000 bn:00062699n
d000.s19336.t00001 bn:00058442n
d000.s19337.t00000 bn:00071172n
d000.s19337.t00001 bn:00074544n
d000.s19337.t00002 bn:00035679n
d000.s19338.t00000 bn:00007922n
d000.s19338.t00001 bn:00005704n
d000.s19338.t00002 bn:00084198v
d000.s19338.t00003 bn:00008158n
d000.s19339.t00000 bn:00077585n
d000.s19339.t00001 bn:00074099n
d000.s19339.t00002 bn:00069126n
d000.s19339.t00003 bn:00085059v
d000.s19339.t00004 bn:00075374n
d000.s19340.t00000 bn:00001992n
d000.s19340.t00001 bn:00012524n
d000.s19340.t00002 bn:00018345n
d000.s19341.t00000 bn:00012524n
d000.s19341.t00001 bn:00069126n
d000.s19341.t00002 bn:00002936n
d000.s19342.t00000 bn:00044808n
d000.s19342.t00001 bn:00069126n
d000.s19342.t00002 bn:00022129n
d000.s19342.t00003 bn:00100744a
d000.s19343.t00000 bn:00060201n
d000.s19343.t00001 bn:00003500n
d000.s19343.t00002 bn:00069126n
d000.s19343.t00003 bn:00102975a
d000.s19343.t00004 bn:00007782n
d000.s19344.t00000 bn:00013898n
d000.s19345.t00000 bn:00089178v
d000.s19345.t00001 bn:00071294n
d000.s19345.t00002 bn:00035725n
d000.s19345.t00003 bn:00001227n
d000.s19346.t00000 bn:00096207a
d000.s19346.t00001 bn:00101563a
d000.s19346.t00002 bn:00082172v
d000.s19347.t00000 bn:00077905n
d000.s19347.t00001 bn:00055334n
d000.s19347.t00002 bn:00047741n
d000.s19347.t00003 bn:00020714n
d000.s19348.t00000 bn:00082347v
d000.s19348.t00001 bn:00095836v
d000.s19349.t00000 bn:00069262n
d000.s19349.t00001 bn:00102975a
d000.s19349.t00002 bn:00071599n
d000.s19350.t00000 bn:00069270n
d000.s19350.t00001 bn:00016478n
d000.s19350.t00002 bn:00114778r
d000.s19350.t00003 bn:00069924n
d000.s19350.t00004 bn:00046867n
d000.s19351.t00000 bn:00114714r
d000.s19351.t00001 bn:00001530n
d000.s19351.t00002 bn:00019980n
d000.s19351.t00003 bn:00011744n
d000.s19352.t00000 bn:00072004n
d000.s19352.t00001 bn:00001530n
d000.s19352.t00002 bn:00001533n
d000.s19353.t00000 bn:00089384v
d000.s19354.t00000 bn:00051771n
d000.s19354.t00001 bn:00099878a
d000.s19355.t00000 bn:00008052n
d000.s19356.t00000 bn:00093876v
d000.s19356.t00001 bn:00117558r
